year,state,crop,area,production,yield
2017,Orissa,Finger Millet,114.35,100.57999999999998,879.58
2010,Tamil Nadu,Finger Millet,75.65,171.11,2261.86
2011,Tamil Nadu,Finger Millet,82.82000000000001,224.89,2715.41
2012,Tamil Nadu,Finger Millet,70.30000000000001,138.04999999999998,1963.73
2013,Tamil Nadu,Finger Millet,118.72999999999999,362.34000000000003,3051.8
2014,Tamil Nadu,Finger Millet,104.43,349.62,3347.89
2015,Tamil Nadu,Finger Millet,90.02,282.05,3133.19
2016,Tamil Nadu,Finger Millet,61.37,114.43,1864.59
2017,Tamil Nadu,Finger Millet,86.51,321.34,3714.48
2010,Telangana,Finger Millet,2.7,3.3899999999999997,1255.56
2011,Telangana,Finger Millet,2.2,2.8,1272.73
2012,Telangana,Finger Millet,2.24,3.0300000000000002,1352.68
2013,Telangana,Finger Millet,1.7200000000000002,2.52,1465.12
2014,Telangana,Finger Millet,1.54,1.75,1136.36
2015,Telangana,Finger Millet,0.9199999999999999,0.51,554.35
2016,Telangana,Finger Millet,1.13,1.31,1159.29
2017,Telangana,Finger Millet,1.46,1.6600000000000001,1136.99
2010,Uttarakhand,Finger Millet,119.2,159.29,1336.33
2011,Uttarakhand,Finger Millet,114.51,160.05,1397.69
2012,Uttarakhand,Finger Millet,113.23,157.79,1393.54
2013,Uttarakhand,Finger Millet,108.65,148.82,1369.72
2014,Uttarakhand,Finger Millet,107.91,149.05,1381.24
2015,Uttarakhand,Finger Millet,105.46000000000001,148.7,1410.01
2016,Uttarakhand,Finger Millet,106.37,157.41,1479.83
2017,Uttarakhand,Finger Millet,101.51,138.85,1367.85
2010,West Bengal,Finger Millet,11.72,13.84,1180.89
2011,West Bengal,Finger Millet,8.430000000000001,8.25,978.65
2012,West Bengal,Finger Millet,10.1,11.07,1096.04
2013,West Bengal,Finger Millet,10.11,11.07,1094.96
2014,West Bengal,Finger Millet,10.13,11.08,1093.78
2015,West Bengal,Finger Millet,10.13,11.129999999999999,1098.72
2016,West Bengal,Finger Millet,9.91,10.980000000000002,1107.97
2010,Andhra Pradesh,Groundnut,1426.13,1105.82,775.4
2011,Andhra Pradesh,Groundnut,1135.68,582.59,512.99
2012,Andhra Pradesh,Groundnut,1157.5,779.54,673.47
2013,Andhra Pradesh,Groundnut,1176.41,881.32,749.16
2014,Andhra Pradesh,Groundnut,874.12,492.53,563.46
2015,Andhra Pradesh,Groundnut,774.72,800.5600000000001,1033.35
2016,Andhra Pradesh,Groundnut,1012.81,602.72,595.1
2017,Andhra Pradesh,Groundnut,734.57,1047.6100000000001,1426.15
2011,Bihar,Groundnut,0.81,0.8300000000000001,1024.69
2012,Bihar,Groundnut,0.76,0.77,1013.16
2013,Bihar,Groundnut,0.9,0.92,1022.22
2014,Bihar,Groundnut,0.5800000000000001,0.5900000000000001,1017.24
2016,Bihar,Groundnut,0.97,0.99,1020.62
2017,Bihar,Groundnut,0.5700000000000001,0.58,1017.54
2010,Chhattisgarh,Groundnut,29.0,42.41,1462.41
2011,Chhattisgarh,Groundnut,28.669999999999998,37.86,1320.54
2012,Chhattisgarh,Groundnut,29.4,40.49,1377.21
2013,Chhattisgarh,Groundnut,29.18,42.4,1453.05
2014,Chhattisgarh,Groundnut,29.08,40.79,1402.68
2015,Chhattisgarh,Groundnut,29.04,37.25,1282.71
2016,Chhattisgarh,Groundnut,26.73,46.92,1755.33
2017,Chhattisgarh,Groundnut,25.41,32.12,1264.07
2010,Gujarat,Groundnut,1921.7,3575.0,1860.33
2011,Gujarat,Groundnut,1686.3,2716.8,1611.1
2012,Gujarat,Groundnut,1285.2,757.75,589.6
2013,Gujarat,Groundnut,1830.1299999999999,5435.04,2969.76
2014,Gujarat,Groundnut,1383.29,2650.21,1915.87
2015,Gujarat,Groundnut,1413.22,2031.15,1437.25
2016,Gujarat,Groundnut,1758.3799999999999,3274.37,1862.15
2017,Gujarat,Groundnut,1678.8,4065.82,2421.86
2010,Haryana,Groundnut,2.3,2.4,1043.48
2011,Haryana,Groundnut,2.1,2.0,952.38
2012,Haryana,Groundnut,2.62,3.08,1175.57
2013,Haryana,Groundnut,5.6000000000000005,6.7,1196.43
2014,Haryana,Groundnut,1.0,2.0,2000.0
2015,Haryana,Groundnut,4.5,5.5,1222.22
2016,Haryana,Groundnut,4.6000000000000005,5.7,1239.13
2017,Haryana,Groundnut,3.3000000000000003,3.7,1121.21
2017,Jharkhand,Groundnut,32.27,35.830000000000005,1110.32
2010,Karnataka,Groundnut,847.65,741.61,874.9
2011,Karnataka,Groundnut,676.33,469.33,693.94
2012,Karnataka,Groundnut,588.86,395.2,671.13
2013,Karnataka,Groundnut,654.95,565.38,863.24
2014,Karnataka,Groundnut,653.91,501.76,767.32
2015,Karnataka,Groundnut,570.09,394.79,692.5
2016,Karnataka,Groundnut,665.72,418.71999999999997,628.97
2017,Karnataka,Groundnut,564.85,636.33,1126.55
2010,Kerala,Groundnut,1.5,1.87,1246.67
2011,Kerala,Groundnut,1.71,2.15,1257.31
2012,Kerala,Groundnut,0.78,0.98,1256.41
2013,Kerala,Groundnut,0.71,0.87,1225.35
2010,Madhya Pradesh,Groundnut,201.2,300.6,1494.04
2011,Madhya Pradesh,Groundnut,209.7,339.9,1620.89
2012,Madhya Pradesh,Groundnut,221.14000000000001,352.75,1595.14
2013,Madhya Pradesh,Groundnut,215.63,354.9,1645.87
2014,Madhya Pradesh,Groundnut,215.3,361.75,1680.21
2015,Madhya Pradesh,Groundnut,234.0,260.0,1111.11
2016,Madhya Pradesh,Groundnut,254.0,377.0,1484.25
2017,Madhya Pradesh,Groundnut,224.05,349.16,1558.4
2010,Maharashtra,Groundnut,357.65,458.03,1280.67
2011,Maharashtra,Groundnut,322.8,374.96999999999997,1161.62
2012,Maharashtra,Groundnut,308.19,337.67,1095.66
2013,Maharashtra,Groundnut,328.3,421.7,1284.5
2014,Maharashtra,Groundnut,326.5,378.9,1160.49
2015,Maharashtra,Groundnut,309.81,333.24,1075.63
2016,Maharashtra,Groundnut,355.09,420.3,1183.64
2017,Maharashtra,Groundnut,291.12,345.44,1186.59
2010,Orissa,Groundnut,247.69,417.11,1684.0
2011,Orissa,Groundnut,255.14,435.42,1706.59
2012,Orissa,Groundnut,263.41,467.3,1774.04
2013,Orissa,Groundnut,267.68,478.33,1786.95
2014,Orissa,Groundnut,259.23,463.31,1787.25
2015,Orissa,Groundnut,221.29,387.19,1749.69
2016,Orissa,Groundnut,209.81,376.59,1794.91
2017,Orissa,Groundnut,198.01,358.03000000000003,1808.14
2010,Punjab,Groundnut,2.2,4.0,1818.18
2011,Punjab,Groundnut,1.7000000000000002,2.9,1705.88
2012,Punjab,Groundnut,1.6,2.9,1812.5
2013,Punjab,Groundnut,1.3,2.4,1846.15
2014,Punjab,Groundnut,1.4,2.6,1857.14
2015,Punjab,Groundnut,1.0,1.9,1900.0
2016,Punjab,Groundnut,1.2,2.3,1916.67
2017,Punjab,Groundnut,1.2,2.3,1916.67
2010,Rajasthan,Groundnut,346.94,681.07,1963.08
2011,Rajasthan,Groundnut,416.13,805.28,1935.16
2012,Rajasthan,Groundnut,402.25,623.75,1550.65
2013,Rajasthan,Groundnut,466.29999999999995,907.41,1945.98
2014,Rajasthan,Groundnut,504.53999999999996,1017.5199999999999,2016.73
2015,Rajasthan,Groundnut,520.83,1054.75,2025.13
2016,Rajasthan,Groundnut,561.1,1147.82,2045.66
2017,Rajasthan,Groundnut,646.13,1262.21,1953.49
2010,Tamil Nadu,Groundnut,385.54,895.66,2323.13
2011,Tamil Nadu,Groundnut,385.63,1060.6799999999998,2750.51
2012,Tamil Nadu,Groundnut,339.33,785.4,2314.56
2013,Tamil Nadu,Groundnut,336.64,915.88,2720.65
2014,Tamil Nadu,Groundnut,336.54,925.18,2749.09
2015,Tamil Nadu,Groundnut,346.64,892.3100000000001,2574.17
2016,Tamil Nadu,Groundnut,282.48,588.88,2084.68
2017,Tamil Nadu,Groundnut,327.35,1007.44,3077.56
2010,Telangana,Groundnut,195.91,351.2,1792.66
2011,Telangana,Groundnut,171.36,262.02,1529.06
2012,Telangana,Groundnut,187.15,334.85,1789.21
2013,Telangana,Groundnut,210.07,355.13,1690.53
2014,Telangana,Groundnut,154.8,295.23,1907.17
2015,Telangana,Groundnut,127.79,205.9,1611.24
2016,Telangana,Groundnut,167.1,341.96,2046.44
2017,Telangana,Groundnut,167.07,372.52,2229.72
2010,Uttar Pradesh,Groundnut,87.60000000000001,87.02999999999999,993.49
2011,Uttar Pradesh,Groundnut,95.84,95.26,993.95
2012,Uttar Pradesh,Groundnut,95.31,94.74,994.02
2013,Uttar Pradesh,Groundnut,97.46,87.3,895.75
2014,Uttar Pradesh,Groundnut,98.97,85.75,866.42
2015,Uttar Pradesh,Groundnut,97.71000000000001,66.5,680.59
2016,Uttar Pradesh,Groundnut,94.78,86.06,908.0
2017,Uttar Pradesh,Groundnut,88.55,89.94,1015.7
2010,West Bengal,Groundnut,62.06,103.23,1663.39
2011,West Bengal,Groundnut,62.21,150.17,2413.92
2012,West Bengal,Groundnut,69.45,152.09,2189.92
2013,West Bengal,Groundnut,68.92,151.63,2200.09
2014,West Bengal,Groundnut,70.85,155.46,2194.21
2015,West Bengal,Groundnut,77.69,171.56,2208.26
2016,West Bengal,Groundnut,66.08,156.92,2374.7
2017,West Bengal,Groundnut,63.65,178.25,2800.47
2010,Andhra Pradesh,Kharif Sorghum,8.81,12.74,1446.08
2011,Andhra Pradesh,Kharif Sorghum,28.3,60.83,2149.47
2012,Andhra Pradesh,Kharif Sorghum,27.7,73.39999999999999,2649.82
2013,Andhra Pradesh,Kharif Sorghum,32.74,57.19,1746.79
2014,Andhra Pradesh,Kharif Sorghum,36.91,54.92000000000001,1487.94
2015,Andhra Pradesh,Kharif Sorghum,44.43,49.26,1108.71
2016,Andhra Pradesh,Kharif Sorghum,14.270000000000001,20.48,1435.18
2017,Andhra Pradesh,Kharif Sorghum,29.669999999999998,30.23,1018.87
2010,Bihar,Kharif Sorghum,3.0900000000000003,3.2700000000000005,1058.25
2011,Bihar,Kharif Sorghum,2.02,2.15,1064.36
2012,Bihar,Kharif Sorghum,2.64,2.82,1068.18
2013,Bihar,Kharif Sorghum,1.24,1.31,1056.45
2014,Bihar,Kharif Sorghum,1.46,1.55,1061.64
2015,Bihar,Kharif Sorghum,1.6199999999999999,1.72,1061.73
2016,Bihar,Kharif Sorghum,1.8,1.92,1066.67
2017,Bihar,Kharif Sorghum,1.3599999999999999,1.4500000000000002,1066.18
2010,Chhattisgarh,Kharif Sorghum,5.98,8.61,1439.8
2011,Chhattisgarh,Kharif Sorghum,5.32,4.1,770.68
2012,Chhattisgarh,Kharif Sorghum,6.24,4.47,716.35
2010,Gujarat,Kharif Sorghum,76.4,80.7,1056.28
2011,Gujarat,Kharif Sorghum,68.2,80.4,1178.89
2012,Gujarat,Kharif Sorghum,49.5,76.0,1535.35
2013,Gujarat,Kharif Sorghum,149.47,214.78,1436.94
2014,Gujarat,Kharif Sorghum,35.96,43.85,1219.41
2015,Gujarat,Kharif Sorghum,74.71,102.49,1371.84
2016,Gujarat,Kharif Sorghum,73.3,117.55,1603.68
2017,Gujarat,Kharif Sorghum,66.99,93.35000000000001,1393.49
2010,Haryana,Kharif Sorghum,70.8,38.0,536.72
2011,Haryana,Kharif Sorghum,64.7,33.0,510.05
2012,Haryana,Kharif Sorghum,55.2,27.5,498.19
2013,Haryana,Kharif Sorghum,62.0,34.0,548.39
2014,Haryana,Kharif Sorghum,53.0,27.0,509.43
2015,Haryana,Kharif Sorghum,55.1,29.0,526.32
2017,Jharkhand,Kharif Sorghum,3.3200000000000003,2.2199999999999998,668.67
2010,Karnataka,Kharif Sorghum,215.79,344.75,1597.62
2011,Karnataka,Kharif Sorghum,196.08,289.89,1478.43
2012,Karnataka,Kharif Sorghum,158.07999999999998,193.57,1224.51
2013,Karnataka,Kharif Sorghum,167.86,238.84,1422.85
2014,Karnataka,Kharif Sorghum,115.59,159.83,1382.73
2015,Karnataka,Kharif Sorghum,104.75,119.4,1139.86
2016,Karnataka,Kharif Sorghum,110.72,128.79999999999998,1163.29
2017,Karnataka,Kharif Sorghum,92.46,153.03,1655.09
2010,Kerala,Kharif Sorghum,2.2,1.12,509.09
2010,Madhya Pradesh,Kharif Sorghum,413.67,585.75,1415.98
2011,Madhya Pradesh,Kharif Sorghum,346.09,533.31,1540.96
2012,Madhya Pradesh,Kharif Sorghum,291.58,457.47,1568.93
2013,Madhya Pradesh,Kharif Sorghum,244.34,341.62,1398.13
2014,Madhya Pradesh,Kharif Sorghum,220.0,372.0,1690.91
2015,Madhya Pradesh,Kharif Sorghum,208.0,330.0,1586.54
2016,Madhya Pradesh,Kharif Sorghum,221.0,438.0,1981.9
2017,Madhya Pradesh,Kharif Sorghum,270.04,653.42,2419.72
2010,Maharashtra,Kharif Sorghum,1031.7,1367.38,1325.37
2011,Maharashtra,Kharif Sorghum,895.62,1341.8,1498.18
2012,Maharashtra,Kharif Sorghum,888.7,1197.42,1347.38
2013,Maharashtra,Kharif Sorghum,803.8,926.4,1152.53
2014,Maharashtra,Kharif Sorghum,680.1,584.4,859.29
2015,Maharashtra,Kharif Sorghum,620.8,368.1,592.94
2016,Maharashtra,Kharif Sorghum,603.42,575.38,953.53
2017,Maharashtra,Kharif Sorghum,565.2900000000001,547.25,968.09
2010,Orissa,Kharif Sorghum,8.9,5.35,601.12
2011,Orissa,Kharif Sorghum,8.63,5.4399999999999995,630.36
2014,Orissa,Kharif Sorghum,6.69,4.1899999999999995,626.31
2015,Orissa,Kharif Sorghum,6.21,3.89,626.41
2016,Orissa,Kharif Sorghum,5.47,3.44,628.88
2017,Orissa,Kharif Sorghum,5.619999999999999,3.55,631.67
2010,Rajasthan,Kharif Sorghum,726.9300000000001,508.92,700.09
2011,Rajasthan,Kharif Sorghum,553.77,410.3,740.92
2012,Rajasthan,Kharif Sorghum,680.36,420.42,617.94
2013,Rajasthan,Kharif Sorghum,579.64,356.82,615.59
2014,Rajasthan,Kharif Sorghum,660.97,504.48,763.24
2015,Rajasthan,Kharif Sorghum,631.23,344.3,545.44
2016,Rajasthan,Kharif Sorghum,579.32,349.53999999999996,603.36
2017,Rajasthan,Kharif Sorghum,516.03,300.84,582.99
2010,Tamil Nadu,Kharif Sorghum,179.56,144.29,803.58
2011,Tamil Nadu,Kharif Sorghum,134.23999999999998,147.07,1095.58
2012,Tamil Nadu,Kharif Sorghum,128.58,93.37,726.16
2013,Tamil Nadu,Kharif Sorghum,225.05,250.47,1112.95
2014,Tamil Nadu,Kharif Sorghum,235.48000000000002,471.16,2000.85
2015,Tamil Nadu,Kharif Sorghum,185.22,193.87,1046.7
2016,Tamil Nadu,Kharif Sorghum,128.34,106.52,829.98
2017,Tamil Nadu,Kharif Sorghum,241.37,274.96,1139.16
2010,Telangana,Kharif Sorghum,105.53999999999999,101.6,962.67
2011,Telangana,Kharif Sorghum,74.97,92.77000000000001,1237.43
2012,Telangana,Kharif Sorghum,75.33,90.39,1199.92
2013,Telangana,Kharif Sorghum,70.84,76.88000000000001,1085.26
2014,Telangana,Kharif Sorghum,42.620000000000005,47.0,1102.77
2015,Telangana,Kharif Sorghum,45.17,50.53,1118.66
2016,Telangana,Kharif Sorghum,61.95,54.6,881.36
2017,Telangana,Kharif Sorghum,43.129999999999995,40.72,944.12
2010,Uttar Pradesh,Kharif Sorghum,201.10999999999999,207.08,1029.69
2011,Uttar Pradesh,Kharif Sorghum,187.48,217.97,1162.63
2012,Uttar Pradesh,Kharif Sorghum,184.19,248.24,1347.74
2013,Uttar Pradesh,Kharif Sorghum,165.19,173.66,1051.27
2014,Uttar Pradesh,Kharif Sorghum,164.4,162.91,990.94
2015,Uttar Pradesh,Kharif Sorghum,154.86,104.8,676.74
2016,Uttar Pradesh,Kharif Sorghum,182.92000000000002,183.03,1000.6
2017,Uttar Pradesh,Kharif Sorghum,169.14000000000001,214.82,1270.07
2010,Assam,Linseed,7.05,3.79,537.59
2011,Assam,Linseed,6.95,3.93,565.47
2012,Assam,Linseed,6.41,3.77,588.14
2013,Assam,Linseed,5.930000000000001,3.82,644.18
2014,Assam,Linseed,5.58,3.92,702.51
2015,Assam,Linseed,5.21,3.3200000000000003,637.24
2016,Assam,Linseed,4.87,2.96,607.8
2017,Assam,Linseed,4.92,3.02,613.82
2010,Bihar,Linseed,23.02,18.82,817.55
2011,Bihar,Linseed,23.44,20.28,865.19
2012,Bihar,Linseed,22.0,19.060000000000002,866.36
2013,Bihar,Linseed,18.71,15.879999999999999,848.74
2014,Bihar,Linseed,16.46,14.18,861.48
2015,Bihar,Linseed,15.049999999999999,12.93,859.14
2016,Bihar,Linseed,12.7,10.56,831.5
2017,Bihar,Linseed,12.11,10.32,852.19
2010,Chhattisgarh,Linseed,38.4,10.0,260.42
2011,Chhattisgarh,Linseed,35.269999999999996,13.69,388.15
2012,Chhattisgarh,Linseed,32.269999999999996,13.42,415.87
2013,Chhattisgarh,Linseed,31.159999999999997,11.84,379.97
2014,Chhattisgarh,Linseed,27.41,11.17,407.52
2015,Chhattisgarh,Linseed,25.08,9.469999999999999,377.59
2017,Chhattisgarh,Linseed,17.759999999999998,4.56,256.76
2010,Himachal Pradesh,Linseed,0.95,0.26,273.68
2011,Himachal Pradesh,Linseed,1.04,0.31,298.08
2012,Himachal Pradesh,Linseed,0.9299999999999999,0.35,376.34
2013,Himachal Pradesh,Linseed,1.09,0.27,247.71
2014,Himachal Pradesh,Linseed,0.6799999999999999,0.16,235.29
2015,Himachal Pradesh,Linseed,0.7999999999999999,0.24,300.0
2017,Himachal Pradesh,Linseed,0.7999999999999999,0.24,300.0
2017,Jharkhand,Linseed,52.08,29.700000000000003,570.28
2010,Karnataka,Linseed,11.36,3.89,342.43
2011,Karnataka,Linseed,8.54,1.86,217.8
2012,Karnataka,Linseed,6.890000000000001,1.22,177.07
2013,Karnataka,Linseed,5.5600000000000005,1.65,296.76
2014,Karnataka,Linseed,5.03,1.56,310.14
2015,Karnataka,Linseed,4.97,0.59,118.71
2016,Karnataka,Linseed,2.85,0.16,56.14
2017,Karnataka,Linseed,2.28,0.7999999999999999,350.88
2010,Madhya Pradesh,Linseed,94.39999999999999,33.4,353.81
2011,Madhya Pradesh,Linseed,120.2,57.0,474.21
2012,Madhya Pradesh,Linseed,87.9,48.26,549.03
2013,Madhya Pradesh,Linseed,88.78999999999999,46.84,527.54
2014,Madhya Pradesh,Linseed,72.0,44.0,611.11
2015,Madhya Pradesh,Linseed,79.0,42.0,531.65
2016,Madhya Pradesh,Linseed,119.0,58.0,487.39
2017,Madhya Pradesh,Linseed,162.0,85.55,528.09
2010,Maharashtra,Linseed,39.3,10.370000000000001,263.87
2011,Maharashtra,Linseed,31.009999999999998,7.62,245.73
2012,Maharashtra,Linseed,27.24,7.640000000000001,280.47
2013,Maharashtra,Linseed,12.1,3.25,268.6
2014,Maharashtra,Linseed,23.9,5.300000000000001,221.76
2015,Maharashtra,Linseed,16.259999999999998,3.9799999999999995,244.77
2016,Maharashtra,Linseed,14.2,3.3499999999999996,235.92
2017,Maharashtra,Linseed,10.59,3.26,307.84
2010,Orissa,Linseed,20.62,9.46,458.78
2011,Orissa,Linseed,24.61,11.58,470.54
2012,Orissa,Linseed,24.52,11.82,482.06
2013,Orissa,Linseed,22.97,10.98,478.01
2014,Orissa,Linseed,24.009999999999998,11.48,478.13
2015,Orissa,Linseed,9.92,4.73,476.81
2016,Orissa,Linseed,16.21,7.78,479.95
2017,Orissa,Linseed,12.26,5.95,485.32
2010,Rajasthan,Linseed,1.73,2.05,1184.97
2011,Rajasthan,Linseed,1.19,1.29,1084.03
2012,Rajasthan,Linseed,1.08,1.03,953.7
2013,Rajasthan,Linseed,2.11,2.86,1355.45
2014,Rajasthan,Linseed,2.56,3.28,1281.25
2015,Rajasthan,Linseed,1.8399999999999999,1.87,1016.3
2016,Rajasthan,Linseed,34.96,38.92,1113.27
2017,Rajasthan,Linseed,4.99,5.04,1010.02
2010,Telangana,Linseed,0.68,0.16,235.29
2010,Uttar Pradesh,Linseed,29.19,12.96,443.99
2011,Uttar Pradesh,Linseed,29.94,13.47,449.9
2012,Uttar Pradesh,Linseed,29.62,13.350000000000001,450.71
2013,Uttar Pradesh,Linseed,25.82,10.51,407.05
2014,Uttar Pradesh,Linseed,24.64,14.29,579.95
2015,Uttar Pradesh,Linseed,16.73,3.17,189.48
2016,Uttar Pradesh,Linseed,32.37,17.4,537.53
2017,Uttar Pradesh,Linseed,25.7,15.44,600.78
2010,West Bengal,Linseed,4.12,1.44,349.51
2011,West Bengal,Linseed,4.14,1.48,357.49
2012,West Bengal,Linseed,3.8200000000000003,1.3399999999999999,350.79
2013,West Bengal,Linseed,4.32,1.54,356.48
2014,West Bengal,Linseed,5.29,1.96,370.51
2015,West Bengal,Linseed,6.2,2.27,366.13
2016,West Bengal,Linseed,6.63,2.44,368.02
2017,West Bengal,Linseed,4.89,1.02,208.59
2010,Andhra Pradesh,Maize,233.42,1884.47,8073.3
2011,Andhra Pradesh,Maize,272.42,1763.19,6472.32
2012,Andhra Pradesh,Maize,309.14,1910.92,6181.41
2013,Andhra Pradesh,Maize,352.13,2213.51,6286.06
2014,Andhra Pradesh,Maize,303.3,1938.09,6390.01
2015,Andhra Pradesh,Maize,232.64999999999998,1411.69,6067.87
2016,Andhra Pradesh,Maize,250.29,1652.91,6603.98
2017,Andhra Pradesh,Maize,336.53,2325.9,6911.42
2010,Assam,Maize,19.63,14.0,713.19
2011,Assam,Maize,21.18,16.99,802.17
2012,Assam,Maize,23.529999999999998,21.09,896.3
2013,Assam,Maize,23.96,76.71,3201.59
2014,Assam,Maize,27.880000000000003,92.83,3329.63
2015,Assam,Maize,28.26,86.87,3073.96
2016,Assam,Maize,31.1,90.69,2916.08
2017,Assam,Maize,31.39,98.3,3131.57
2010,Bihar,Maize,653.72,2108.2200000000003,3224.96
2011,Bihar,Maize,696.88,2557.07,3669.31
2012,Bihar,Maize,693.39,2755.9900000000002,3974.66
2013,Bihar,Maize,732.32,2904.26,3965.83
2014,Bihar,Maize,706.53,2478.77,3508.37
2015,Bihar,Maize,704.96,2517.16,3570.64
2016,Bihar,Maize,720.91,3845.7,5334.51
2017,Bihar,Maize,677.45,3120.75,4606.61
2010,Chhattisgarh,Maize,102.7,185.6,1807.21
2011,Chhattisgarh,Maize,107.44,177.82,1655.06
2012,Chhattisgarh,Maize,116.84,225.13,1926.82
2013,Chhattisgarh,Maize,123.59,254.5,2059.23
2014,Chhattisgarh,Maize,125.06,235.04000000000002,1879.42
2015,Chhattisgarh,Maize,126.38,237.72000000000003,1880.99
2016,Chhattisgarh,Maize,120.55,309.32,2565.91
2017,Chhattisgarh,Maize,119.62,306.95,2566.04
2010,Gujarat,Maize,565.5,978.1,1729.62
2011,Gujarat,Maize,515.89,786.6,1524.74
2012,Gujarat,Maize,457.8,790.5999999999999,1726.96
2013,Gujarat,Maize,432.43,632.1700000000001,1461.9
2014,Gujarat,Maize,394.34999999999997,568.84,1442.47
2015,Gujarat,Maize,391.93,608.51,1552.6
2016,Gujarat,Maize,449.87999999999994,840.6600000000001,1868.63
2017,Gujarat,Maize,399.99,714.76,1786.94
2010,Haryana,Maize,9.600000000000001,19.0,1979.17
2011,Haryana,Maize,11.0,30.0,2727.27
2012,Haryana,Maize,9.879999999999999,26.0,2631.58
2013,Haryana,Maize,8.0,24.0,3000.0
2014,Haryana,Maize,9.0,18.0,2000.0
2015,Haryana,Maize,6.1,18.0,2950.82
2016,Haryana,Maize,6.2,26.0,4193.55
2017,Haryana,Maize,6.4,19.0,2968.75
2010,Himachal Pradesh,Maize,281.66999999999996,641.54,2277.63
2011,Himachal Pradesh,Maize,290.25,612.71,2110.97
2012,Himachal Pradesh,Maize,275.98,605.08,2192.48
2013,Himachal Pradesh,Maize,291.96999999999997,594.28,2035.41
2014,Himachal Pradesh,Maize,289.19,503.71000000000004,1741.8
2015,Himachal Pradesh,Maize,280.82,708.53,2523.08
2016,Himachal Pradesh,Maize,262.58,483.45,1841.15
2017,Himachal Pradesh,Maize,280.82,711.12,2532.3
2010,Jharkhand,Maize,61.169999999999995,56.37,921.53
2011,Jharkhand,Maize,65.87,92.16,1399.12
2012,Jharkhand,Maize,93.03,117.54,1263.46
2013,Jharkhand,Maize,83.09,136.39000000000001,1641.47
2014,Jharkhand,Maize,106.55,240.61999999999998,2258.28
2015,Jharkhand,Maize,118.72999999999999,115.12,969.59
2016,Jharkhand,Maize,124.67999999999999,270.72999999999996,2171.4
2017,Jharkhand,Maize,294.7,596.73,2024.87
2010,Karnataka,Maize,1287.71,4444.37,3451.37
2011,Karnataka,Maize,1349.78,4085.83,3027.03
2012,Karnataka,Maize,1321.67,3475.99,2630.0
2013,Karnataka,Maize,1377.2,4356.39,3163.22
2014,Karnataka,Maize,1337.08,4213.61,3151.35
2015,Karnataka,Maize,1220.31,3310.5,2712.84
2016,Karnataka,Maize,1370.21,3314.29,2418.82
2017,Karnataka,Maize,1307.03,5610.67,4292.69
2010,Madhya Pradesh,Maize,837.9,1332.2,1589.93
2011,Madhya Pradesh,Maize,851.9,1279.6,1502.05
2012,Madhya Pradesh,Maize,854.55,2380.71,2785.92
2013,Madhya Pradesh,Maize,851.65,1486.15,1745.02
2014,Madhya Pradesh,Maize,1131.0,2530.0,2236.96
2015,Madhya Pradesh,Maize,1100.0,2909.0,2644.55
2016,Madhya Pradesh,Maize,1264.0,4300.0,3401.9
2017,Madhya Pradesh,Maize,1352.16,4812.57,3559.17
2010,Maharashtra,Maize,890.45,2602.43,2922.6
2011,Maharashtra,Maize,877.3,2457.09,2800.74
2012,Maharashtra,Maize,821.9300000000001,1826.03,2221.64
2013,Maharashtra,Maize,946.4999999999999,3123.7999999999997,3300.37
2014,Maharashtra,Maize,1076.2,2202.3,2046.37
2015,Maharashtra,Maize,1066.89,1659.8700000000001,1555.8
2016,Maharashtra,Maize,1053.43,3328.69,3159.86
2017,Maharashtra,Maize,1063.53,3125.4,2938.7
2010,Orissa,Maize,252.65,649.2,2569.56
2011,Orissa,Maize,262.05,608.1,2320.55
2012,Orissa,Maize,280.67,675.66,2407.31
2013,Orissa,Maize,279.61,778.66,2784.81
2014,Orissa,Maize,269.40000000000003,751.1800000000001,2788.34
2015,Orissa,Maize,239.18,666.4,2786.19
2016,Orissa,Maize,252.24,745.52,2955.6
2017,Orissa,Maize,247.60999999999999,729.96,2948.02
2010,Punjab,Maize,133.0,491.0,3691.73
2011,Punjab,Maize,117.71999999999998,482.0,4094.46
2012,Punjab,Maize,130.99999999999997,483.0,3687.02
2013,Punjab,Maize,130.0,507.0,3900.0
2014,Punjab,Maize,126.0,460.0,3650.79
2015,Punjab,Maize,115.0,424.0,3686.96
2016,Punjab,Maize,116.0,445.0,3836.21
2017,Punjab,Maize,114.0,423.0,3710.53
2010,Rajasthan,Maize,1143.0900000000001,2052.96,1795.97
2011,Rajasthan,Maize,1045.63,1651.65,1579.57
2012,Rajasthan,Maize,986.15,1858.1999999999998,1884.3
2013,Rajasthan,Maize,926.71,1477.51,1594.36
2014,Rajasthan,Maize,904.28,1565.5700000000002,1731.29
2015,Rajasthan,Maize,881.12,1156.71,1312.77
2016,Rajasthan,Maize,937.27,1404.17,1498.15
2017,Rajasthan,Maize,870.11,1763.56,2026.82
2010,Tamil Nadu,Maize,230.55,1027.5500000000002,4456.95
2011,Tamil Nadu,Maize,280.65000000000003,1695.5,6041.33
2012,Tamil Nadu,Maize,291.07,946.37,3251.35
2013,Tamil Nadu,Maize,380.45,2245.25,5901.56
2014,Tamil Nadu,Maize,321.98,2647.7400000000002,8223.31
2015,Tamil Nadu,Maize,355.08,2532.34,7131.74
2016,Tamil Nadu,Maize,315.03000000000003,953.39,3026.35
